Date,Open,High,Low,Close,Volume,Adj Close
2013-08-02,155.47,156.24,155.23,156.20,3620800,152.60
2013-08-01,155.89,156.16,155.67,155.89,4872400,152.30
2013-07-31,155.12,156.03,154.56,154.84,11784600,151.27
2013-07-30,155.40,155.58,154.42,154.91,4211000,151.34
2013-07-29,154.86,155.14,154.45,154.93,2592500,151.36
2013-07-26,154.48,155.25,153.67,155.16,3859300,151.59
2013-07-25,154.54,155.25,154.20,155.12,5483500,151.55
2013-07-24,155.61,155.70,154.61,155.10,3894500,151.53
2013-07-23,155.57,155.67,155.08,155.36,3394100,151.78
2013-07-22,155.12,155.42,154.81,155.11,3165700,151.54
2013-07-19,154.88,155.14,154.57,155.12,4828400,151.55
2013-07-18,154.98,155.74,154.56,155.34,6823000,151.56
2013-07-17,154.64,154.85,154.18,154.44,6504400,150.68
2013-07-16,154.60,154.74,153.93,154.30,3594600,150.55
2013-07-15,154.56,154.87,154.33,154.64,2751600,150.88
2013-07-12,154.42,154.76,153.89,154.17,6349800,150.42
2013-07-11,154.35,154.62,153.71,154.38,5848400,150.62
2013-07-10,152.77,153.29,152.36,152.71,6126900,149.00
2013-07-09,152.71,152.99,152.22,152.79,5200200,149.07
2013-07-08,151.78,152.43,151.68,152.02,4915600,148.32
2013-07-05,150.72,151.09,149.41,151.02,5528500,147.35
2013-07-03,148.42,149.98,148.25,149.54,2589400,145.90
2013-07-02,149.15,150.21,148.40,148.93,4873800,145.31
2013-07-01,149.52,150.50,149.22,149.42,4895800,145.79
2013-06-28,149.32,150.03,148.47,148.55,6719200,144.94
2013-06-27,149.69,150.42,149.55,149.90,6584600,146.25
2013-06-26,148.30,149.07,147.97,148.79,6326000,145.17
2013-06-25,147.41,147.80,146.62,147.30,7592300,143.72
2013-06-24,146.33,147.43,145.17,146.28,14129300,142.72
2013-06-21,148.03,148.28,146.53,147.73,10968600,144.14
2013-06-20,149.84,149.88,147.29,147.58,14309900,143.69
2013-06-19,152.94,153.22,151.05,151.09,9143700,147.11
2013-06-18,151.96,153.36,151.92,153.10,4807900,149.07
2013-06-17,151.63,152.58,151.05,151.78,6693100,147.78
2013-06-14,151.60,152.01,150.39,150.66,4639300,146.69
2013-06-13,149.74,151.99,149.48,151.76,6208200,147.76
2013-06-12,152.18,152.35,149.70,149.86,6901000,145.91
2013-06-11,151.08,152.42,150.70,151.20,7012500,147.22
2013-06-10,152.79,152.88,151.98,152.21,4917900,148.20
2013-06-07,151.16,152.44,150.70,152.32,8087900,148.31
2013-06-06,149.38,150.27,148.31,150.25,15155100,146.29
2013-06-05,151.22,151.43,149.29,149.31,9426900,145.38
2013-06-04,152.26,152.91,150.82,151.64,7956400,147.65
2013-06-03,151.54,152.36,151.10,152.31,10861300,148.30
2013-05-31,152.61,153.73,150.90,151.10,7424700,147.12
2013-05-30,152.86,153.80,152.60,153.10,8231800,149.07
2013-05-29,153.02,153.25,152.02,152.84,7906200,148.82
2013-05-28,154.21,154.98,153.48,153.88,9374100,149.83
2013-05-24,152.16,152.82,151.73,152.77,4535300,148.75
2013-05-23,151.67,153.24,151.55,152.77,10474400,148.75
2013-05-22,153.71,155.14,152.35,152.84,12806500,148.82
2013-05-21,153.28,154.02,152.89,153.51,5734900,149.47
2013-05-20,153.04,153.56,152.82,153.04,4464700,149.01
2013-05-17,152.42,153.24,152.21,153.14,5503200,149.11
2013-05-16,152.64,153.11,152.24,152.45,8194700,148.02
2013-05-15,151.88,153.11,151.86,152.78,5770700,148.34
2013-05-14,150.88,152.17,150.86,152.13,5551900,147.71
2013-05-13,150.75,151.01,150.48,150.86,3841500,146.47
2013-05-10,150.91,151.10,150.29,151.04,4138200,146.65
2013-05-09,150.90,151.37,150.39,150.84,3948500,146.45
2013-05-08,150.13,150.96,150.10,150.94,4087100,146.55
2013-05-07,149.77,150.28,149.44,150.26,5361800,145.89
2013-05-06,149.36,149.60,149.14,149.43,3110600,145.09
2013-05-03,149.26,149.82,149.20,149.36,5929900,145.02
2013-05-02,147.12,148.05,146.91,147.96,4340700,143.66
2013-05-01,147.56,147.81,146.58,146.74,5372800,142.47
2013-04-30,147.87,148.11,147.05,148.02,8065800,143.72
2013-04-29,147.20,148.15,146.91,147.86,6132000,143.56
2013-04-26,146.55,147.15,146.52,146.88,3242600,142.61
2013-04-25,146.64,147.42,146.36,146.76,4160500,142.49
2013-04-24,147.02,147.21,146.39,146.45,4963800,142.19
2013-04-23,146.13,146.90,145.15,146.80,10435300,142.53
2013-04-22,145.38,145.57,144.24,145.32,11711700,141.09
2013-04-19,144.71,145.21,144.36,145.14,6028600,140.92
2013-04-18,146.10,146.12,144.77,145.18,8277100,140.82
2013-04-17,146.55,146.60,145.37,145.95,10757100,141.57
2013-04-16,146.98,147.39,146.37,147.36,6974100,142.94
2013-04-15,147.90,147.93,145.72,145.81,14177400,141.43
2013-04-12,147.99,148.46,147.68,148.42,8710800,143.96
2013-04-11,147.82,148.66,147.63,148.40,6975600,143.95
2013-04-10,146.98,148.06,146.96,147.78,7947100,143.34
2013-04-09,146.08,146.96,145.75,146.51,5492300,142.11
